x,y,time,x_f,y_f
635,87,1688676194.595019,638.6984836343845,155.18595849301803
642,73,1688676194.7149298,645.3186599835898,151.67909178456136
602,79,1688676194.8493102,651.1538278703443,148.1098947526733
593,87,1688676194.968167,656.1324037943707,144.51461036953683
637,69,1688676195.0804782,660.2948977651959,140.92289203550007
609,78,1688676195.2169719,663.7774866206701,137.32758210096904
630,100,1688676195.3135056,666.6445129767166,133.78231620445905
612,106,1688676195.4567266,668.9381214270234,130.3889552086754
594,128,1688676195.5660741,670.6569260926497,127.23335800820561
547,158,1688676195.6831958,671.7035091586945,124.42608764134425
556,145,1688676195.7995872,671.9917144840042,122.04792811678782
544,143,1688676195.9127693,671.5396548588134,120.07056857280648
567,160,1688676196.0437198,670.4396012478643,118.46340322941178
638,128,1688676196.1668022,668.9199033924119,117.19687989280015
637,118,1688676196.2807412,667.2737031232973,116.1591211783878
668,104,1688676196.406901,665.6703417538247,115.23551038566896
653,105,1688676196.5305276,664.1820372708651,114.36527823651147
606,107,1688676196.6485662,662.7380564101011,113.53326351428504
589,100,1688676196.763726,661.157740972273,112.73738794653057
626,92,1688676196.8894503,659.400283178618,111.94923061874837
587,79,1688676197.0035233,657.520967838492,111.11989470938944
659,69,1688676197.121682,655.589004957386,110.19415990325615
673,48,1688676197.2733538,653.7954495472461,109.10854353034041
638,124,1688676197.3999517,652.2313883236649,107.92136298691065
625,174,1688676197.5075948,650.7808179379336,106.91522099635114
641,212,1688676197.6322658,649.3744128762414,106.39022416725969
607,234,1688676197.7518826,647.9938018069986,106.51545971286959
555,259,1688676197.8655446,646.4921109844822,107.37839205672303
533,300,1688676197.9980197,644.6566570604455,109.06174365709181
488,295,1688676198.1537218,642.3269096132914,111.61862382597697
522,331,1688676198.2595851,639.454352579064,115.040201509198
451,344,1688676198.3932755,636.0426709143287,119.33254226933757
486,362,1688676198.524625,632.0617216810523,124.49597451168202
546,349,1688676198.6518178,627.6810994625267,130.46128085489107
539,339,1688676198.7929928,623.1851742518517,137.082784371247
554,382,1688676198.9037914,618.7017040354851,144.26728679830455
505,365,1688676199.029675,614.2175701267774,151.9998322749849
517,360,1688676199.1708188,609.6551640493204,160.18331679905913
535,355,1688676199.30546,605.0391920071145,168.67551655896773
538,392,1688676199.426938,600.4769783366829,177.42641842468026
516,387,1688676199.5484967,595.9925067785889,186.45124110972174
516,415,1688676199.6641264,591.5438348979003,195.74882272922628
511,391,1688676199.7846985,587.1137193412428,205.2755380187754
484,400,1688676199.9098125,582.6719842027111,214.93538429531534
504,378,1688676200.039329,578.1887698784653,224.61679772220964
564,348,1688676200.156465,573.8015564788598,234.16566686456363
562,296,1688676200.2641237,569.7279441301828,243.343869195151
594,238,1688676200.3993697,566.0876004450347,251.85561022873483
621,173,1688676200.5151944,562.9865248839095,259.38011141544473
629,143,1688676200.6423972,560.5237221524405,265.658095088758
624,111,1688676200.8065524,558.7020622434245,270.5541679904193
660,100,1688676200.935622,557.5145033646578,274.0314003428309
721,86,1688676201.0463374,557.0886362324911,276.11922066616967
750,66,1688676201.1648328,557.6205312274237,276.86527071867937
767,49,1688676201.293488,559.205356459373,276.30246819077945
788,41,1688676201.4356625,561.8459766031043,274.48110505946505
751,62,1688676201.5294514,565.4480123052784,271.52674337350857
701,41,1688676201.6499164,569.7384035758179,267.59496094677274
646,29,1688676201.7655008,574.33851437169,262.7633460176096
655,13,1688676201.8904116,578.9677654614931,257.06560110440194
634,17,1688676202.0124002,583.5110784244192,250.56769455662837
601,21,1688676202.1361268,587.8542790520743,243.38603643619072
574,26,1688676202.3073199,591.8261156890305,235.65952974582902
607,42,1688676202.4493172,595.3633680056132,227.53467869128045
593,60,1688676202.5900218,598.5276605260889,219.18149730994153
602,85,1688676202.7000055,601.3602130226242,210.78564791425867
609,93,1688676202.8179903,603.8954577615633,202.51203781649653
599,152,1688676202.9457214,606.1688716502805,194.54263507716394
570,261,1688676203.055465,608.1332176235403,187.23609757781313
587,374,1688676203.1857047,609.7348651840936,181.13635380590742
534,464,1688676203.336014,610.9323438568447,176.77425302396028
546,507,1688676203.4606423,611.6484621456342,174.48431284910836
608,576,1688676203.5656412,611.9779979264692,174.42049664670856
638,619,1688676203.724229,612.2027128381351,176.67678665806702
626,661,1688676203.846648,612.493349818964,181.28416344734813
652,705,1688676203.9717379,612.8881127730292,188.21851930014807
669,732,1688676204.093615,613.4571718308048,197.4241639417365
675,758,1688676204.2017574,614.275466005469,208.78966105428643
717,772,1688676204.3444915,615.4159069582422,222.1572758181957
729,787,1688676204.467279,616.9872262178285,237.33901858012584
698,760,1688676204.585366,618.9861086153415,254.07994142279125
648,762,1688676204.7152548,621.2094610508126,272.06375062190966
595,750,1688676204.853926,623.3512860162432,291.00309240832877
546,730,1688676204.99252,625.1075282446205,310.62501475384164
558,749,1688676205.0935395,626.3050078946317,330.6944718743685
576,707,1688676205.2174778,626.985275774939,351.0117109075107
599,639,1688676205.3466644,627.3027203303931,371.2369896208065
655,608,1688676205.458882,627.4693350505297,390.9556075681497
654,500,1688676205.5823982,627.6961785485233,409.75702589560456
634,391,1688676205.7065518,628.0253552425322,427.10654828467375
618,287,1688676205.8514328,628.3607261336036,442.4259299899408
581,196,1688676205.9640453,628.5693905558579,455.24187931990355
597,125,1688676206.1015944,628.5551357143019,465.2202350874977
592,74,1688676206.2241743,628.3268685813621,472.1854850714244
647,26,1688676206.3354712,627.9977470134569,476.0904571580403
680,-29,1688676206.4509735,627.7823280001737,476.9386772131848
645,-48,1688676206.565327,627.7957990621773,474.7877957275672
594,-44,1688676206.6950064,627.8851695437978,469.8357778105745
624,-14,1688676206.8136022,627.8852929902619,462.4342534040111
571,-45,1688676206.9282684,627.741151390869,452.9326807402977
547,-38,1688676207.0450783,627.3223850736216,441.57112959153955
511,-26,1688676207.1623814,626.4597993834282,428.60457100574024
514,10,1688676207.306615,625.0690167389133,414.37593751300676
493,32,1688676207.4110034,623.1391159528263,399.2565492259363
524,62,1688676207.5377057,620.7264287681921,383.58971612015495
592,157,1688676207.653356,618.0554584549086,367.78390003537874
586,302,1688676207.7686067,615.404713231362,352.48059468049786
630,413,1688676207.8953772,612.9339734512179,338.44260181976637
552,492,1688676208.0155015,610.644616463431,326.27183545620596
608,596,1688676208.132841,608.4489800054276,316.38906161894823
639,666,1688676208.2480745,606.4452084825451,309.13394132868274
646,732,1688676208.376655,604.8078256889169,304.7261978622282
653,762,1688676208.4921112,603.5839784453035,303.2315734602188
732,787,1688676208.6224484,602.8836959546784,304.5732592564217
760,783,1688676208.7285082,602.9385015705657,308.55613179870096
755,762,1688676208.8508725,603.8589051958028,314.8730288309412
781,774,1688676208.9647224,605.6128237154644,323.191533770311
738,757,1688676209.109119,608.1081150757053,333.2317739911024
762,745,1688676209.2648332,611.1994390280015,344.70397432749644
813,751,1688676209.3981724,614.8879389092413,357.33900973928587
815,742,1688676209.516972,619.2765400235152,370.92733239894505
832,662,1688676209.631078,624.3712582824546,385.1543657152722
782,538,1688676209.7506037,630.0474484181356,399.44066325628177
752,363,1688676209.867154,636.045255551561,412.9600043792917
758,255,1688676210.0011446,642.1434661958288,424.86197291743076
691,133,1688676210.1173666,648.1713753239001,434.4961370175101
639,51,1688676210.2338111,653.8375880549046,441.4094481476593
660,20,1688676210.3502154,658.9274130261824,445.3837466077248
692,-14,1688676210.468532,663.5039168574668,446.44452217508456
689,-60,1688676210.6169817,667.7143667156205,444.6799498782235
702,-59,1688676210.7522135,671.6297266554016,440.2147456744131
684,-43,1688676210.857618,675.26544787891,433.31830868974185
633,-69,1688676210.980372,678.5213465729279,424.2971555315327
621,-16,1688676211.0991206,681.2251025215617,413.45262196345345
582,15,1688676211.2167835,683.2521150609101,401.20260929781045
635,66,1688676211.336739,684.6075788755701,388.00977768083663
645,43,1688676211.4631941,685.466956025403,374.2116358830694
628,169,1688676211.5817866,685.9594046225171,360.14445565273957
598,282,1688676211.7001684,686.0416110772713,346.4195693050924
592,387,1688676211.8214638,685.6347703288171,333.75030783374865
619,474,1688676211.949127,684.7707787359366,322.69994072653276
637,561,1688676212.082045,683.5994263658071,313.6985633471067
670,664,1688676212.221146,682.3004539052739,307.1160778831075
678,719,1688676212.345862,681.0295761016846,303.2458684535132
695,750,1688676212.496698,679.8878934346138,302.1823156422119
771,773,1688676212.640053,679.041230601017,303.84118898336686
829,796,1688676212.7487986,678.7957942311712,308.072627056152
835,793,1688676213.3576758,679.3795898065705,314.6777059157009
853,741,1688676214.3432794,680.830743294368,323.3166880363529
851,657,1688676215.3378706,683.1080230380376,333.44531910388434
864,579,1688676216.354896,686.1506692417919,344.4112702224073
789,571,1688676217.3524377,689.7856531496891,355.6991610098035
751,585,1688676218.344862,693.6731682350603,367.09190093592144
745,568,1688676219.347862,697.5340436938972,378.51613601939806
742,480,1688676220.3528757,701.2708905508825,389.74355813675527
715,358,1688676221.3371823,704.817790538293,400.26801871953853
824,363,1688676222.3385742,708.2500882364836,409.6231910418532
779,405,1688676223.3505476,711.7734736000299,417.77489218189237
666,426,1688676224.363061,715.2201241107437,424.9630815756367
710,394,1688676225.3445783,718.2456343962067,431.3231999581996
626,374,1688676226.3604243,720.7170511172978,436.81293595820745
667,285,1688676227.330996,722.5567195520351,441.25606816098633
619,245,1688676228.352268,723.7471652528469,444.38833240720993
649,270,1688676229.349566,724.3131513838988,446.1185584855011
523,244,1688676230.3359337,724.1502063497986,446.56075761673907
475,205,1688676231.3446555,722.9407578042278,445.75128958410113
457,235,1688676232.360425,720.4507019892225,443.718305436102
407,208,1688676233.351982,716.6332440311339,440.59370119099583
779,180,1688676234.326737,712.0222707013713,436.4345444963765
1079,171,1688676234.4301112,708.1833918098263,431.2393994145914
1258,208,1688676235.3384523,706.7427441861654,425.1345490795114
1025,106,1688676236.333041,708.0784968814069,418.19732357497173
896,311,1688676237.3277812,711.2816397279169,410.61157866324527
1256,486,1688676238.3438976,715.9451060596355,403.19704149108077
1109,425,1688676239.337445,722.5378507454375,396.70226301328574
1085,418,1688676240.3425453,730.8796960982173,391.13580707967014
984,442,1688676240.4600263,740.3043961991632,386.3579044296989
966,379,1688676241.3424494,750.2856084330989,382.2813315501148
1011,359,1688676242.3492525,760.5716382569555,378.67755097086234
1246,385,1688676243.3439918,771.5195836390337,375.4051847823877
1446,447,1688676244.3352735,784.0423435142769,372.58611729825486
1638,421,1688676245.3300173,799.1114669383045,370.37066648902146
1607,531,1688676246.3325586,817.1802351281126,368.88393936829317
1737,536,1688676246.4240549,838.207741342738,368.3492545875267
1818,499,1688676247.3367727,862.2132531738806,368.7910422003904
1828,534,1688676248.332,889.1848615672408,370.0541697706088
1808,598,1688676249.33205,918.7710263191013,372.18679094998555
1910,628,1688676250.3394113,950.6287224198676,375.36743198562806
1831,612,1688676251.3479686,984.4860352042533,379.6252630876482
1578,474,1688676252.335898,1019.4819156256715,384.6170355705077
1329,386,1688676253.3474605,1054.0707383210076,389.6799998606609
1042,347,1688676254.3523123,1086.5733078992382,394.26026859484597
804,301,1688676255.347051,1115.4657112776183,398.07148401693837
688,234,1688676256.3382723,1139.6719920631595,400.8824249959734
614,189,1688676257.3490171,1158.7472763797116,402.4525388955023
583,168,1688676258.325228,1172.688063031769,402.64265909321034
494,95,1688676259.3339374,1181.6237557131783,401.3626965859912
451,30,1688676260.3355398,1185.6599210690626,398.43525324799765
422,149,1688676260.4358704,1184.9899700977094,393.9279025873514
402,219,1688676261.3403635,1179.9360156682494,388.3890445910213
428,161,1688676262.3502824,1170.9261211298535,382.25391732676684
440,142,1688676263.3423967,1158.4938173759106,375.52605048620023
350,183,1688676264.3353324,1143.0135554980693,368.22671180924505
311,168,1688676265.333072,1124.5937556378674,360.52905608506506
339,138,1688676265.9352057,1103.4467188775384,352.4922662106954
416,213,1688676266.043226,1080.1209179224209,344.1990955251737
415,218,1688676266.1704326,1055.2472136713677,335.9080733091354
429,204,1688676266.2847335,1029.2644560495771,327.771456742082
422,172,1688676266.4197996,1002.470792632163,319.7401254340033
421,146,1688676266.5448663,975.1069978149872,311.69778249771866
395,131,1688676266.6577055,947.3420711014818,303.5477551572344
